OFFSET_X,OFFSET_Y,SSLOC_X,SSLOC_Y,SSLOC_Z,SRC_X,SRC_Y,SRC_Z,RCV_X,RCV_Y,RCV_Z
-2100,-300,13834,19011,2015,12925,20450,0,10825,20150,0
-2100,-300,13931,19481,2212,11725,20450,0,9625,20150,0
-2100,-300,13866,19106,2180,12775,20450,0,10675,20150,0
-2100,-300,13632,19049,2158,13075,21050,0,10975,20750,0
-2100,-300,14006,19303,2125,12325,21050,0,10225,20750,0
-2100,-300,13633,18704,1948,13375,20450,0,11275,20150,0
-2100,-300,13814,19225,2175,12625,21050,0,10525,20750,0
-2100,-300,14167,19555,2232,11875,21050,0,9775,20750,0
-2100,-300,13823,19153,2202,12475,21050,0,10375,20750,0
-2100,-300,13262,17260,2139,7825,18650,0,5725,18350,0
-2100,-300,14055,19625,2205,11125,21050,0,9025,20750,0
-2100,-300,14113,19513,2271,11725,21050,0,9625,20750,0
-2100,-300,14074,19471,2265,11575,21050,0,9475,20750,0
-2100,-300,13697,18938,2195,12925,21050,0,10825,20750,0
-2100,-300,14077,19639,2301,11275,21050,0,9175,20750,0
-2100,-300,14032,19613,2401,11425,21050,0,9325,20750,0
-2100,-300,13829,19173,2333,13225,20450,0,11125,20150,0
-2100,-300,13680,18859,2211,12775,21050,0,10675,20750,0
-2100,-300,13753,19131,2287,9925,20450,0,7825,20150,0
-2100,-300,13725,19046,2227,10825,20450,0,8725,20150,0
-2100,-300,14179,19756,2322,11125,21650,0,9025,21350,0
-2100,-300,14148,19709,2341,10975,21650,0,8875,21350,0
-2100,-300,13214,17074,2184,7525,18650,0,5425,18350,0
-2100,-300,13986,19481,2393,10375,21650,0,8275,21350,0
-1800,-300,13862,16578,1278,13075,16250,0,11275,15950,0
-1800,-300,13881,16560,1282,13225,16250,0,11425,15950,0
-1800,-300,12974,15954,1696,11575,16850,0,9775,16550,0
-1800,-300,13083,16347,1637,12775,16850,0,10975,16550,0
-1800,-300,13034,16328,1766,12475,16850,0,10675,16550,0
-1800,-300,13147,16484,1748,13075,16850,0,11275,16550,0
-1800,-300,13019,16152,1789,12025,16850,0,10225,16550,0
-1800,-300,13082,16342,1724,12625,16850,0,10825,16550,0
-1800,-300,13117,16207,1757,12325,16850,0,10525,16550,0
-1800,-300,13114,16911,2297,11725,16850,0,9925,16550,0
-1800,-300,12864,16019,1618,9775,17450,0,7975,17150,0
-1800,-300,13399,17038,1706,12175,16850,0,10375,16550,0
-1800,-300,13738,16959,1444,12925,16850,0,11125,16550,0
